name,value
mTurkID, p52
subID,108
drive_name,
drive_index,0
time_date,Tue Jan 31 2023 12:27:23 GMT-0600 (Central Standard Time)
Page_3_SurveyPage_Question1_radio,7
Page_3_SurveyPage_Question2_radio,7
Page_3_SurveyPage_Question3_radio,7
Page_3_SurveyPage_Question4_radio,6
Page_3_SurveyPage_Question5_radio,7
Page_3_SurveyPage_Question6_radio,7
Page_3_SurveyPage_Question7_radio,7
Page_3_SurveyPage_Question8_radio,7
Page_3_SurveyPage_Question9_radio,7
Page_3_SurveyPage_Question10_radio,7
Page_3_SurveyPage_Question11_radio,0
