name,value
mTurkID, p15
subID,213
drive_name,2111
drive_index,2
time_date,Fri Feb 10 2023 20:30:28 GMT-0600 (Central Standard Time)
Page_15_SurveyPage_Question1_radio,Orange
Page_15_SurveyPage_Question2_text,scooter
Page_15_SurveyPage_Question3_radio,26-35
Page_15_SurveyPage_Question4_radio,Female
Page_15_SurveyPage_Question5_radio,Science
Page_15_SurveyPage_Question6_radio,Doctoral_degree (e.g. PhD; EdD)
Page_15_SurveyPage_Question7_radio,1
Page_15_SurveyPage_Question8_radio,2
Page_15_SurveyPage_Question9_radio,2
Page_15_SurveyPage_Question10_radio,2
Page_15_SurveyPage_Question11_checkbox,0
Page_15_SurveyPage_Question13_checkbox,none
Page_15_SurveyPage_Question15_textarea,no
Page_15_SurveyPage_Question16_radio,Yes
